STAGE 1 Parameters:
Fuel mass (kg): 5600
Dry mass (kg): 1200
Fuel fract: 0.8235294117647058
Isp @ SL: 226
Burn time (sec): 137.90398151982043
Thrust (N): 90030.294
dM/dt: 40.60796460176991

TIME,HEIGHT,VELOCITY,MASS,THRUST,DRAG,GAMMA,RANGE
8.300,95.414,23.817,6962.954,90389.913,30.521,1.551,0.675,
8.400,97.811,24.135,6958.893,90389.901,31.341,1.550,0.724,
8.500,100.240,24.453,6954.832,90389.889,32.174,1.549,0.775,
8.600,102.700,24.773,6950.772,90389.876,33.019,1.549,0.829,
8.700,105.193,25.093,6946.711,90389.863,33.876,1.548,0.884,
8.800,107.717,25.413,6942.650,90389.851,34.747,1.548,0.942,
8.900,110.274,25.735,6938.589,90389.838,35.630,1.547,1.001,
9.000,112.863,26.057,6934.528,90389.825,36.526,1.546,1.064,
9.100,115.484,26.380,6930.468,90389.811,37.435,1.546,1.128,
9.200,118.137,26.704,6926.407,90389.798,38.357,1.545,1.195,
9.300,120.823,27.028,6922.346,90389.785,39.292,1.545,1.265,
9.400,123.541,27.353,6918.285,90389.771,40.240,1.544,1.337,
9.500,126.292,27.680,6914.224,90389.757,41.201,1.543,1.411,
9.600,129.075,28.006,6910.164,90389.743,42.175,1.543,1.488,
9.700,131.891,28.334,6906.103,90389.729,43.163,1.542,1.568,
9.800,134.739,28.662,6902.042,90389.715,44.164,1.542,1.651,
9.900,137.621,28.991,6897.981,90389.701,45.178,1.541,1.736,
10.000,140.535,29.321,6893.920,90389.686,46.206,1.540,1.823,
10.100,143.482,29.652,6889.860,90389.672,47.247,1.540,1.914,
10.200,146.463,29.984,6885.799,90389.657,48.302,1.539,2.008,
10.300,149.476,30.316,6881.738,90389.642,49.370,1.539,2.104,
10.400,152.523,30.649,6877.677,90389.627,50.452,1.538,2.203,
10.500,155.602,30.983,6873.616,90389.612,51.548,1.537,2.305,
10.600,158.716,31.317,6869.556,90389.597,52.658,1.537,2.410,
10.700,161.862,31.653,6865.495,90389.582,53.782,1.536,2.519,
10.800,165.042,31.989,6861.434,90389.566,54.919,1.535,2.630,
10.900,168.256,32.326,6857.373,90389.551,56.071,1.535,2.745,
11.000,171.503,32.663,6853.312,90389.535,57.236,1.534,2.862,
11.100,174.784,33.002,6849.252,90389.519,58.416,1.534,2.983,
11.200,178.099,33.341,6845.191,90389.504,59.610,1.533,3.107,
11.300,181.448,33.681,6841.130,90389.488,60.818,1.532,3.235,
11.400,184.831,34.022,6837.069,90389.471,62.040,1.532,3.365,
11.500,188.247,34.364,6833.008,90389.455,63.277,1.531,3.500,
11.600,191.698,34.706,6828.948,90389.439,64.528,1.531,3.637,
11.700,195.183,35.050,6824.887,90389.422,65.793,1.530,3.778,
11.800,198.702,35.394,6820.826,90389.406,67.074,1.529,3.923,
11.900,202.256,35.738,6816.765,90389.389,68.368,1.529,4.071,
12.000,205.843,36.084,6812.704,90389.372,69.678,1.528,4.223,
12.100,209.466,36.431,6808.644,90389.355,71.002,1.528,4.379,
12.200,213.123,36.778,6804.583,90389.338,72.340,1.527,4.538,
12.300,216.814,37.126,6800.522,90389.321,73.694,1.526,4.701,
12.400,220.541,37.475,6796.461,90389.304,75.062,1.526,4.868,
12.500,224.302,37.824,6792.400,90389.287,76.446,1.525,5.038,
12.600,228.098,38.175,6788.340,90389.269,77.844,1.525,5.213,
12.700,231.928,38.526,6784.279,90389.252,79.257,1.524,5.392,
12.800,235.794,38.878,6780.218,90389.234,80.686,1.523,5.574,
12.900,239.695,39.231,6776.157,90389.216,82.129,1.523,5.761,
13.000,243.631,39.585,6772.096,90389.199,83.588,1.522,5.951,
13.100,247.603,39.939,6768.036,90389.181,85.062,1.521,6.146,
13.200,251.609,40.294,6763.975,90389.163,86.552,1.521,6.345,
13.300,255.652,40.650,6759.914,90389.145,88.056,1.520,6.548,
13.400,259.729,41.007,6755.853,90389.126,89.577,1.520,6.755,
13.500,263.842,41.365,6751.792,90389.108,91.112,1.519,6.967,
13.600,267.991,41.723,6747.732,90389.090,92.664,1.518,7.183,
13.700,272.176,42.083,6743.671,90389.071,94.230,1.518,7.404,
13.800,276.396,42.443,6739.610,90389.053,95.813,1.517,7.629,
13.900,280.652,42.804,6735.549,90389.034,97.411,1.517,7.858,
14.000,284.944,43.166,6731.488,90389.016,99.025,1.516,8.092,
14.100,289.272,43.528,6727.428,90388.997,100.655,1.515,8.331,
14.200,293.636,43.892,6723.367,90388.978,102.300,1.515,8.574,
14.300,298.037,44.256,6719.306,90388.959,103.962,1.514,8.822,
14.400,302.473,44.621,6715.245,90388.940,105.639,1.514,9.075,
14.500,306.946,44.987,6711.185,90388.921,107.332,1.513,9.332,
14.600,311.456,45.354,6707.124,90388.902,109.042,1.512,9.595,
14.700,316.002,45.721,6703.063,90388.883,110.768,1.512,9.862,
14.800,320.584,46.090,6699.002,90388.863,112.509,1.511,10.134,
14.900,325.203,46.459,6694.941,90388.844,114.267,1.511,10.412,
15.000,329.859,46.829,6690.881,90388.825,116.042,1.510,10.694,
15.100,334.552,47.200,6686.820,90388.805,117.832,1.509,10.981,
15.200,339.281,47.571,6682.759,90388.786,119.639,1.509,11.274,
15.300,344.047,47.944,6678.698,90388.766,121.463,1.508,11.572,
15.400,348.851,48.317,6674.637,90388.747,123.303,1.507,11.875,
15.500,353.692,48.691,6670.577,90388.727,125.159,1.507,12.183,
15.600,358.569,49.066,6666.516,90388.707,127.032,1.506,12.497,
15.700,363.484,49.442,6662.455,90388.687,128.921,1.506,12.816,
15.800,368.437,49.819,6658.394,90388.668,130.828,1.505,13.140,
15.900,373.427,50.196,6654.333,90388.648,132.751,1.504,13.470,
16.000,378.454,50.575,6650.273,90388.628,134.690,1.504,13.806,
16.100,383.519,50.954,6646.212,90388.608,136.647,1.503,14.147,
16.200,388.622,51.334,6642.151,90388.588,138.620,1.503,14.494,
16.300,393.762,51.715,6638.090,90388.568,140.611,1.502,14.846,
16.400,398.940,52.097,6634.029,90388.548,142.618,1.501,15.204,
16.500,404.156,52.479,6629.969,90388.528,144.642,1.501,15.568,
16.600,409.410,52.863,6625.908,90388.508,146.684,1.500,15.938,
16.700,414.702,53.247,6621.847,90388.487,148.742,1.500,16.314,
16.800,420.033,53.632,6617.786,90388.467,150.817,1.499,16.696,
16.900,425.401,54.018,6613.725,90388.447,152.910,1.498,17.084,
17.000,430.808,54.405,6609.665,90388.427,155.020,1.498,17.478,
17.100,436.253,54.792,6605.604,90388.407,157.147,1.497,17.878,
17.200,441.737,55.181,6601.543,90388.386,159.292,1.497,18.284,
17.300,447.259,55.570,6597.482,90388.366,161.454,1.496,18.697,
17.400,452.820,55.961,6593.421,90388.346,163.633,1.495,19.115,
17.500,458.419,56.352,6589.361,90388.325,165.829,1.495,19.541,
17.600,464.057,56.744,6585.300,90388.305,168.044,1.494,19.972,
17.700,469.734,57.136,6581.239,90388.285,170.275,1.493,20.410,
17.800,475.450,57.530,6577.178,90388.264,172.524,1.493,20.854,
17.900,481.206,57.925,6573.117,90388.244,174.791,1.492,21.305,
18.000,487.000,58.320,6569.057,90388.224,177.076,1.492,21.763,
18.100,492.833,58.716,6564.996,90388.204,179.378,1.491,22.227,
18.200,498.706,59.113,6560.935,90388.183,181.698,1.490,22.698,
18.300,504.618,59.511,6556.874,90388.163,184.035,1.490,23.176,
18.400,510.569,59.910,6552.813,90388.143,186.391,1.489,23.661,
18.500,516.560,60.310,6548.753,90388.122,188.764,1.489,24.152,
18.600,522.590,60.710,6544.692,90388.102,191.155,1.488,24.651,
18.700,528.660,61.112,6540.631,90388.082,193.564,1.487,25.156,
18.800,534.770,61.514,6536.570,90388.062,195.991,1.487,25.669,
18.900,540.920,61.917,6532.509,90388.042,198.436,1.486,26.188,
19.000,547.109,62.321,6528.449,90388.022,200.899,1.486,26.715,
19.100,553.339,62.726,6524.388,90388.002,203.380,1.485,27.249,
19.200,559.608,63.132,6520.327,90387.981,205.879,1.484,27.790,
19.300,565.918,63.539,6516.266,90387.961,208.396,1.484,28.339,
19.400,572.268,63.946,6512.205,90387.941,210.932,1.483,28.895,
19.500,578.658,64.355,6508.145,90387.922,213.485,1.483,29.458,
19.600,585.089,64.764,6504.084,90387.902,216.057,1.482,30.029,
19.700,591.560,65.174,6500.023,90387.882,218.647,1.481,30.608,
